folder	A2	B2	Z	o	h2	cf	cm	dsm	df	dm	alpha	recomb	recomb	a	b	v	gen	printgen	range1	range2	inc1	inc2	run	perturb	pertamt	pertgen	Zoff	dA2	sfert
1210111	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	50000	5000	0.1	4	10	10	1210111						
1211000	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	7.00E-05	0.3	50000	5000	0.1	4	10	10	1211000						
1211001	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	50000	5000	0.1	4	10	10	1211001						
1211010	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	7.00E-05	0.3	50000	5000	0.1	4	10	10	1211010						
1211011	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	50000	5000	0.1	4	10	10	1211011						
1211100	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	7.00E-05	0.3	50000	5000	0.1	4	10	10	1211100						
1211101	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	50000	5000	0.1	4	10	10	1211101						
1211110	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	7.00E-05	0.3	50000	5000	0.1	4	10	10	1211110						
1211111	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	50000	5000	0.1	4	10	10	1211111						
1300000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7.00E-05	0.3	50000	5000	0.1	4	10	10	1300000						
1300001	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	50000	5000	0.1	4	10	10	1300001						
1300010	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	7.00E-05	0.3	50000	5000	0.1	4	10	10	1300010						
1300011	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	50000	5000	0.1	4	10	10	1300011						
1300100	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	7.00E-05	0.3	50000	5000	0.1	4	10	10	1300100						
1300101	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	50000	5000	0.1	4	10	10	1300101						
1300110	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	7.00E-05	0.3	50000	5000	0.1	4	10	10	1300110						
1300111	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	50000	5000	0.1	4	10	10	1300111						
1301000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	7.00E-05	0.3	50000	5000	0.1	4	10	10	1301000						
1301001	0.99	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	50000	5000	0.1	4	10	10	1301001						
1301010	0.99	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	7.00E-05	0.3	50000	5000	0.1	4	10	10	1301010						
1301011	0.99	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	50000	5000	0.1	4	10	10	1301011						
1301100	0.99	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	7.00E-05	0.3	50000	5000	0.1	4	10	10	1301100						
1301101	0.99	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	50000	5000	0.1	4	10	10	1301101						
1301110	0.99	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	7.00E-05	0.3	50000	5000	0.1	4	10	10	1301110						
1301111	0.99	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	50000	5000	0.1	4	10	10	1301111						
1310000	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7.00E-05	0.3	50000	5000	0.1	4	10	10	110000						
1310001	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	50000	5000	0.1	4	10	10	110001						
1310010	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	7.00E-05	0.3	50000	5000	0.1	4	10	10	110010						
1310011	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	50000	5000	0.1	4	10	10	110011						
1310100	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	7.00E-05	0.3	50000	5000	0.1	4	10	10	110100						
1310101	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	50000	5000	0.1	4	10	10	110101						
1310110	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	7.00E-05	0.3	50000	5000	0.1	4	10	10	110110						
1310111	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	50000	5000	0.1	4	10	10	110111						
1311000	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	7.00E-05	0.3	50000	5000	0.1	4	10	10	111000						
1311001	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	50000	5000	0.1	4	10	10	111001						
1311010	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	7.00E-05	0.3	50000	5000	0.1	4	10	10	111010						
1311011	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	50000	5000	0.1	4	10	10	111011						
1311100	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	7.00E-05	0.3	50000	5000	0.1	4	10	10	111100						
1311101	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	50000	5000	0.1	4	10	10	111101						
